"cas"	"cluster"
"820"	"110-12-3"	22
"821"	"143-27-1"	22
"822"	"103-85-5"	22
"823"	"829-74-3"	22
"824"	"615-28-1"	22
"825"	"181274-17-9"	22
"826"	"133099-07-7"	22
"827"	"280-57-9"	22
"828"	"26472-00-4"	22
"829"	"92-68-2"	22
"830"	"60-00-4"	22
"831"	"16423-68-0"	22
"832"	"982-57-0"	22
"833"	"109-29-5"	22
"834"	"5407-98-7"	22
"835"	"88-96-0"	22
"836"	"110-41-8"	22
"837"	"6484-52-2"	22
"838"	"15905-32-5"	22
"839"	"6961-46-2"	22
"840"	"15639-50-6"	22
"841"	"6804-07-5"	22
"842"	"127-25-3"	22
"843"	"65473-14-5"	22
"844"	"254877-67-3"	22
"845"	"5392-28-9"	22
"846"	"NOCAS_48172"	22
"847"	"1166-34-3"	22
"848"	"145918-75-8"	22
"849"	"1724-39-6"	22
"850"	"97466-90-5"	22
"851"	"13679-70-4"	22
"852"	"2437-25-4"	22
"853"	"103-52-6"	22
"854"	"167820-10-2"	22
"855"	"34413-35-9"	22
"856"	"15214-89-8"	22
"857"	"107-18-6"	22
"858"	"112-52-7"	22
"859"	"2426-08-6"	22
"860"	"103-24-2"	22
"861"	"13473-26-2"	22
"862"	"82-68-8"	23
"863"	"103177-37-3"	23
"864"	"17969-20-9"	24
"865"	"129630-19-9"	24
"866"	"23255-99-4"	24
"867"	"22204-53-1"	24
"868"	"599179-03-0"	24
"869"	"22071-15-4"	24
"870"	"188489-07-8"	24
"871"	"463-40-1"	24
"872"	"505-52-2"	24
"873"	"53164-05-9"	24
"874"	"55268-74-1"	24
"875"	"698-76-0"	24
"876"	"334-48-5"	24
"877"	"495-85-2"	24
"878"	"15687-27-1"	24
"879"	"136-45-8"	24
"880"	"105219-56-5"	24
"881"	"18046-21-4"	24
"882"	"151506-44-4"	24
"883"	"56-05-3"	24
"884"	"133-32-4"	24
"885"	"124858-35-1"	24
"886"	"648917-13-9"	24
"887"	"112-31-2"	24
"888"	"94-81-5"	24
"889"	"84379-13-5"	24
"890"	"40828-46-4"	24
"891"	"389-08-2"	24
"892"	"128639-02-1"	24
"893"	"120-36-5"	24
"894"	"215297-27-1"	24
"895"	"1918-02-1"	24
"896"	"62476-59-9"	24
"897"	"50594-66-6"	24
"898"	"3739-38-6"	24
"899"	"21256-18-8"	24
"900"	"94-75-7"	24
"901"	"2702-72-9"	24
"902"	"2008-39-1"	24
"903"	"NOCAS_47383"	24
"904"	"53716-49-7"	24
"905"	"108612-45-9"	24
"906"	"5728-52-9"	24
"907"	"55335-06-3"	24
"908"	"37762-06-4"	24
"909"	"120-23-0"	24
"910"	"93-76-5"	24
"911"	"5104-49-4"	24
"912"	"52549-17-4"	24
"913"	"64490-92-2"	24
"914"	"111974-69-7"	24
"915"	"587-63-3"	24
"916"	"93479-97-1"	24
"917"	"1338-24-5"	24
"918"	"5165-97-9"	24
"919"	"53808-88-1"	24
"920"	"94-82-6"	24
"921"	"10433-59-7"	24
"922"	"138402-11-6"	24
"923"	"73367-80-3"	24
"924"	"120638-55-3"	24
"925"	"117337-19-6"	24
"926"	"10238-21-8"	24
"927"	"36330-85-5"	24
"928"	"207736-05-8"	24
"929"	"64092-48-4"	24
"930"	"18924-66-8"	25
"931"	"6724-53-4"	25
"932"	"68959-20-6"	25
"933"	"725228-45-5"	25
"934"	"50-41-9"	25
"935"	"68844-77-9"	25
"936"	"NOCAS_47381"	25
"937"	"145158-71-0"	25
"938"	"929-73-7"	25
"939"	"2026-24-6"	25
"940"	"130-61-0"	25
"941"	"143-50-0"	25
